구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
2016년05월,1483.25,1385.02,1378.44,1388.45,1371.71,1388.69,1386.20,1397.35,1386.01,1386.79,1389.49,1372.03,1375.84,1370.47,1370.90,1459.23
2016년06월,1538.04,1432.21,1430.33,1444.69,1423.88,1439.30,1432.57,1448.43,1436.49,1431.75,1434.75,1418.23,1422.52,1420.06,1418.75,1496.38
2016년07월,1538.92,1424.76,1425.21,1443.78,1417.35,1435.49,1430.63,1446.24,1439.68,1433.33,1437.82,1417.03,1425.06,1419.49,1420.81,1487.70
2016년08월,1525.73,1399.15,1394.20,1419.90,1383.79,1402.94,1410.49,1416.89,1416.64,1408.50,1413.53,1392.05,1402.14,1392.94,1399.60,1446.09
2016년09월,1521.95,1398.92,1388.73,1413.62,1382.60,1407.45,1404.72,1414.90,1412.53,1406.32,1409.97,1390.13,1395.52,1387.07,1392.89,1457.13
2016년10월,1527.36,1407.03,1397.15,1421.70,1391.81,1417.64,1411.22,1423.71,1420.50,1416.05,1417.14,1398.72,1404.28,1395.82,1397.35,1492.63
2016년11월,1528.42,1416.29,1405.93,1425.90,1405.08,1426.05,1422.54,1432.41,1431.61,1428.22,1427.78,1409.24,1418.76,1409.92,1407.57,1507.42
2016년12월,1561.99,1446.84,1444.04,1458.78,1440.46,1462.55,1447.61,1462.67,1453.73,1450.16,1452.74,1438.39,1442.75,1435.04,1434.28,1521.33
2017년01월,1612.63,1503.47,1495.03,1515.93,1490.55,1509.95,1500.25,1518.34,1506.24,1502.13,1504.97,1488.66,1492.86,1486.32,1489.87,1598.67
2017년02월,1613.06,1511.00,1501.06,1518.29,1497.98,1514.52,1509.40,1523.83,1517.27,1514.54,1515.32,1500.24,1504.43,1499.14,1500.23,1601.80
2017년03월,1594.77,1493.63,1490.02,1500.86,1489.65,1503.71,1500.64,1510.06,1511.36,1507.07,1510.28,1494.15,1500.91,1492.56,1491.14,1568.92
2017년04월,1573.84,1471.26,1467.58,1480.26,1469.40,1484.50,1480.83,1489.34,1494.39,1487.91,1492.84,1478.35,1486.23,1473.17,1469.52,1546.02
2017년05월,1570.36,1463.80,1456.07,1477.14,1464.06,1476.57,1474.11,1484.59,1488.37,1482.89,1487.14,1473.78,1480.13,1465.56,1459.08,1530.74
2017년06월,1552.58,1443.33,1428.59,1453.93,1438.64,1449.79,1454.73,1465.01,1474.46,1465.51,1469.43,1452.39,1462.56,1444.48,1440.65,1506.97
2017년07월,1540.20,1423.56,1404.04,1430.22,1411.31,1431.59,1428.17,1444.03,1452.66,1442.79,1443.71,1426.00,1436.19,1417.66,1418.15,1498.46
2017년08월,1561.01,1445.11,1423.05,1457.71,1426.65,1446.51,1436.30,1461.61,1459.34,1452.11,1451.02,1436.61,1440.35,1428.85,1429.73,1531.41
2017년09월,1589.36,1477.82,1460.67,1488.90,1464.81,1479.74,1470.03,1490.18,1479.75,1476.79,1476.19,1466.62,1462.87,1456.70,1457.33,1557.60
2017년10월,1608.41,1497.40,1485.72,1514.78,1494.54,1502.51,1492.26,1514.39,1504.34,1503.35,1502.62,1493.48,1488.55,1484.23,1480.03,1581.29
2017년11월,1623.93,1511.89,1502.66,1531.87,1509.39,1516.26,1506.89,1530.91,1521.19,1519.50,1520.01,1509.87,1504.36,1502.19,1496.21,1610.70
2017년12월,1636.78,1527.56,1522.20,1550.61,1528.86,1533.40,1524.68,1549.60,1542.39,1538.51,1539.70,1528.11,1526.17,1523.28,1518.23,1614.49
2018년01월,1645.18,1540.99,1533.19,1558.48,1541.59,1550.60,1539.61,1560.44,1554.79,1550.58,1552.99,1537.98,1538.21,1534.85,1530.57,1616.16
2018년02월,1653.64,1554.25,1543.90,1568.68,1554.52,1562.72,1555.06,1571.77,1567.74,1565.44,1568.38,1550.38,1553.58,1547.98,1542.95,1632.39
2018년03월,1643.41,1542.05,1533.71,1557.29,1543.12,1555.05,1552.27,1564.02,1565.06,1562.03,1562.73,1544.80,1552.18,1544.60,1535.58,1597.68
2018년04월,1641.27,1527.38,1522.67,1549.16,1529.17,1544.67,1544.98,1558.92,1560.39,1557.61,1557.65,1538.18,1548.46,1537.65,1527.88,1589.16
2018년05월,1670.44,1561.93,1555.60,1586.76,1559.78,1576.01,1570.54,1590.45,1586.07,1583.80,1582.24,1571.05,1571.22,1563.18,1556.32,1635.43
2018년06월,1694.76,1593.31,1588.08,1616.57,1590.60,1603.33,1595.77,1618.59,1616.75,1611.29,1608.28,1599.96,1601.98,1593.81,1586.03,1660.45
2018년07월,1695.79,1593.79,1586.94,1615.93,1592.74,1605.45,1598.35,1620.90,1619.29,1615.11,1611.49,1600.40,1605.09,1595.93,1587.85,1648.71
2018년08월,1704.46,1600.75,1592.44,1618.98,1599.49,1611.72,1607.59,1628.64,1628.66,1623.98,1618.77,1606.30,1610.27,1602.74,1596.17,1663.42
2018년09월,1726.75,1619.64,1610.82,1639.87,1622.34,1635.10,1625.58,1648.27,1643.78,1645.32,1638.09,1627.16,1627.19,1620.43,1613.16,1694.02
2018년10월,1765.15,1664.65,1654.15,1685.39,1671.82,1685.43,1671.79,1690.56,1683.47,1690.50,1682.08,1668.95,1669.62,1665.42,1658.93,1734.64
2018년11월,1660.28,1564.34,1545.70,1571.08,1568.83,1570.08,1583.22,1586.56,1590.28,1584.71,1587.17,1569.63,1580.87,1572.71,1561.11,1587.81
2018년12월,1539.71,1405.51,1390.28,1413.44,1419.01,1415.40,1427.53,1438.64,1453.61,1441.10,1439.88,1416.94,1444.60,1421.06,1403.05,1442.50
2019년01월,1467.02,1311.42,1307.24,1341.88,1341.24,1335.97,1329.47,1361.66,1373.93,1359.06,1359.28,1331.97,1353.69,1334.11,1318.20,1389.77
2019년02월,1447.85,1315.20,1303.88,1342.97,1329.01,1331.38,1325.97,1352.87,1361.63,1351.23,1350.56,1327.82,1341.40,1327.66,1314.86,1386.31
2019년03월,1465.91,1350.30,1337.59,1369.20,1353.24,1368.08,1356.41,1378.94,1376.88,1377.72,1373.29,1360.70,1359.61,1352.84,1346.30,1401.42
2019년04월,1519.68,1413.27,1404.95,1429.44,1410.58,1423.07,1417.06,1433.57,1424.28,1429.22,1421.45,1415.58,1409.05,1409.89,1403.42,1471.36
2019년05월,1606.72,1500.98,1500.84,1529.83,1497.86,1524.51,1507.77,1528.51,1516.29,1519.77,1515.73,1505.24,1497.89,1504.59,1496.84,1568.35
2019년06월,1605.55,1500.30,1493.54,1500.52,1495.53,1508.84,1494.96,1525.13,1529.34,1524.89,1519.86,1501.92,1511.19,1506.07,1499.03,1582.41
2019년07월,1585.72,1475.47,1462.32,1482.62,1466.47,1484.18,1464.50,1499.44,1506.77,1498.83,1494.69,1474.64,1485.07,1477.01,1472.41,1549.75
2019년08월,1589.33,1476.72,1463.37,1491.56,1469.82,1487.84,1469.27,1502.34,1505.30,1497.63,1493.95,1479.71,1483.93,1477.45,1473.27,1586.58
2019년09월,1633.23,1514.94,1498.92,1536.46,1504.01,1531.59,1507.73,1541.68,1533.70,1528.98,1532.23,1509.07,1512.82,1512.53,1507.41,1615.97
2019년10월,1634.78,1523.02,1509.57,1542.88,1517.43,1540.59,1516.32,1551.09,1550.09,1541.94,1544.93,1523.94,1525.67,1524.82,1519.88,1622.88
2019년11월,1620.79,1515.09,1506.61,1537.81,1515.83,1532.93,1514.85,1544.93,1546.85,1540.29,1540.90,1520.96,1525.04,1521.60,1515.75,1596.01
2019년12월,1630.96,1527.78,1522.30,1553.71,1533.05,1551.97,1531.26,1558.01,1553.31,1553.26,1550.71,1543.96,1535.63,1531.29,1527.44,1610.68
2020년01월,1645.20,1545.59,1544.70,1573.77,1557.40,1568.32,1555.26,1575.74,1572.40,1573.26,1569.96,1563.79,1558.77,1553.58,1547.44,1641.35
