,카드뮴 Cd,구리 Cu,비소 As,수은 Hg,납 Pb,6가크롬 Cr6+,아연 Zn,니켈 Ni,불소 F,유기인,폴리클로리네이티드비페닐 PCB,시안 CN,페놀류,유류,트리클로로에틸렌 TCE,테트라클로로에틸렌 PCE,수소이온농도 pH
2009_경상북도,0.07212099999999999,19.0741945,4.1696565,0.028806,14.366420999999999,0.209349,66.93989,15.1207645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142008000000001
2009_광주광역시,0.07089599999999999,17.780808,4.089341999999999,0.027202999999999998,14.0936975,0.18565750000000003,64.73209,14.9103795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.074248
2009_대구광역시,0.079648,20.603248,4.600308,0.031282,15.852121,0.221609,73.41622,16.720981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.687984
2009_대전광역시,0.052027,14.1931195,3.0121694999999997,0.021278,10.376549,0.160021,48.768029999999996,10.887131499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.700616
2009_부산광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2009_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009_울산광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2009_인천광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2009_전라남도,0.051009,14.4231585,2.9582025,0.021445,10.188548500000001,0.1674365,48.37466,10.649778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6179520000000003
2009_전라북도,0.06730499999999999,18.0124905,3.8932965,0.027125999999999997,13.413357000000001,0.199773,62.70405000000001,14.1008925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79436
2009_제주도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2009_충청남도,0.05238399999999999,14.723104,3.0370740000000005,0.021920999999999996,10.4605605,0.1701045,49.580510000000004,10.9411105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7172720000000004
2009_충청북도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2010_강원도,0.05968999999999999,14.544497,3.4388009999999998,0.022413999999999996,11.853403,0.14746700000000001,54.029999999999994,12.57401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2808
2010_경기도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2010_경상남도,0.045551999999999995,10.226424,2.615748,0.016101999999999998,9.019986999999999,0.094403,40.26818,9.637599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2844960000000003
2010_경상북도,0.05312,12.44144,3.05538,0.01937,10.533845,0.12080500000000001,47.5283,11.214065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81976
2010_광주광역시,0.05987999999999999,14.506931999999999,3.4489259999999997,0.022389,11.8886505,0.1461945,54.10935,12.6180525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29612
2010_대구광역시,0.046127999999999995,10.407432,2.64933,0.016365,9.135574499999999,0.0966705,40.83447,9.7569885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.324984
2010_대전광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2010_부산광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2010_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010_울산광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
